 -3.70024158e+000 -3.17139377e+000 -2.64261889e+000 -2.11392129e+000 -1.58530557e+000 -1.05677661e+000 -5.28339593e-001 0.00000000e+000 5.28236350e-001 1.05636329e+000 1.58437428e+000 2.11226239e+000 2.64002027e+000 3.16764012e+000 3.69511368e+000 4.22243218e+000 4.74958632e+000 5.27656623e+000 5.80336146e+000 6.32996090e+000 6.85635278e+000
 -3.61324146e+000 -3.09675039e+000 -2.58035390e+000 -2.06405763e+000 -1.54786757e+000 -1.03179006e+000 -5.15831822e-001 0.00000000e+000 5.15697847e-001 1.03125370e+000 1.54665905e+000 2.06190487e+000 2.57698161e+000 3.09187910e+000 3.60658659e+000 4.12109264e+000 4.63538513e+000 5.14945121e+000 5.66327723e+000 6.17684869e+000 6.69015021e+000
 -3.52573148e+000 -3.02168420e+000 -2.51774887e+000 -2.01393216e+000 -1.51024117e+000 -1.00668341e+000 -5.03266874e-001 0.00000000e+000 5.03108241e-001 1.00604834e+000 1.50881021e+000 2.01138314e+000 2.51375580e+000 3.01591613e+000 3.51785135e+000 4.01954791e+000 4.52099142e+000 5.02216659e+000 5.52305721e+000 6.02364607e+000 6.52391490e+000
 -3.43292386e+000 -2.94208825e+000 -2.45137860e+000 -1.96080245e+000 -1.47036779e+000 -9.80083083e-001 -4.89957311e-001 0.00000000e+000 4.89778748e-001 9.79368215e-001 1.46875704e+000 1.95793315e+000 2.44688375e+000 2.93559528e+000 3.42405331e+000 3.91224256e+000 4.40014679e+000 4.88774877e+000 5.37503019e+000 5.86197165e+000 6.34855248e+000
 -3.33486644e+000 -2.85800218e+000 -2.38127498e+000 -1.90469305e+000 -1.42826509e+000 -9.52000302e-001 -4.75908482e-001 0.00000000e+000 4.75714141e-001 9.51222269e-001 1.42651200e+000 1.90157019e+000 2.37638290e+000 2.85093534e+000 3.32521180e+000 3.79919561e+000 4.27286908e+000 4.74621341e+000 5.21920865e+000 5.69183362e+000 6.16406581e+000
 -3.23455723e+000 -2.77199179e+000 -2.30957278e+000 -1.84730896e+000 -1.38520961e+000 -9.23284589e-001 -4.61544358e-001 0.00000000e+000 4.61336722e-001 9.22453329e-001 1.38333658e+000 1.84397244e+000 2.30434598e+000 2.76444139e+000 3.22424188e+000 3.68372962e+000 4.14288567e+000 4.60168995e+000 5.06012110e+000 5.51815646e+000 5.97577194e+000
 -3.13210880e+000 -2.68415234e+000 -2.23635028e+000 -1.78871188e+000 -1.34124694e+000 -8.93965844e-001 -4.46879633e-001 0.00000000e+000 4.46660646e-001 8.93089139e-001 1.33927151e+000 1.78519294e+000 2.23083770e+000 2.67618908e+000 3.12122938e+000 3.56593977e+000 4.01030028e+000 4.45428969e+000 4.89788548e+000 5.34106371e+000 5.78379896e+000
 -3.02556545e+000 -2.59280660e+000 -2.16020904e+000 -1.72778244e+000 -1.29553704e+000 -8.63483704e-001 -4.31633949e-001 0.00000000e+000 4.31405177e-001 8.62567826e-001 1.29347335e+000 1.72410626e+000 2.15445012e+000 2.58448748e+000 3.01419981e+000 3.44356746e+000 3.87256955e+000 4.30118391e+000 4.72938698e+000 5.15715375e+000 5.58445764e+000
 -2.92562293e+000 -2.50712397e+000 -2.08879162e+000 -1.67063585e+000 -1.25266724e+000 -8.34897000e-001 -4.17337046e-001 0.00000000e+000 4.17100745e-001 8.33950977e-001 1.25053562e+000 1.66683866e+000 2.08284314e+000 2.49853101e+000 2.91388315e+000 3.32887924e+000 3.74349771e+000 4.15771565e+000 4.57150873e+000 4.98485111e+000 5.39771532e+000
 -2.81448005e+000 -2.41184293e+000 -2.00937714e+000 -1.60709296e+000 -1.20500126e+000 -8.03113582e-001 -4.01442167e-001 0.00000000e+000 4.01199143e-001 8.02140646e-001 1.20280900e+000 1.60318775e+000 2.00325943e+000 2.40300551e+000 2.80240629e+000 3.20144089e+000 3.60008713e+000 3.99832144e+000 4.39611880e+000 4.79345262e+000 5.19029466e+000
